"Historical High and Low Temperatures for Moose, WY from https://www.ncdc.noaa.gov",,
DATE,TMAX,TMIN
8/1/1959,83,52
8/2/1959,76,51
8/3/1959,80,39
8/4/1959,79,45
8/5/1959,81,40
8/6/1959,82,39
8/7/1959,84,40
8/8/1959,86,39
8/9/1959,85,42
8/10/1959,86,39
8/11/1959,84,44
8/12/1959,82,50
8/13/1959,78,51
8/14/1959,76,32
8/15/1959,84,40
8/16/1959,81,39
8/17/1959,85,42
8/18/1959,80,50
8/19/1959,70,47
8/20/1959,71,47
8/21/1959,68,39
8/22/1959,68,36
8/23/1959,76,33
8/24/1959,79,34
8/25/1959,74,40
8/26/1959,71,41
8/27/1959,76,49
8/28/1959,78,36
8/29/1959,76,38
8/30/1959,77,35
8/31/1959,73,36
9/1/1959,71,36
9/2/1959,71,28
9/3/1959,80,30
9/4/1959,74,48
9/5/1959,68,52
9/6/1959,73,55
9/7/1959,83,39
9/8/1959,78,38
9/9/1959,77,28
9/10/1959,84,27
9/11/1959,84,28
9/12/1959,82,32
9/13/1959,79,40
9/14/1959,75,40
9/15/1959,71,46
9/16/1959,66,42
9/17/1959,59,35
9/18/1959,63,33
9/19/1959,55,42
9/20/1959,54,39
9/21/1959,45,32
9/22/1959,53,31
9/23/1959,56,29
9/24/1959,54,31
9/25/1959,51,32
9/26/1959,50,31
9/27/1959,43,30
9/28/1959,44,27
9/29/1959,42,18
9/30/1959,45,20
10/1/1959,48,22
10/2/1959,51,17
10/3/1959,59,22
10/4/1959,63,24
10/5/1959,68,24
10/6/1959,59,36
10/7/1959,49,29
10/8/1959,41,20
10/9/1959,46,31
10/10/1959,50,27
10/11/1959,61,29
10/12/1959,56,34
10/13/1959,52,26
10/14/1959,61,28
10/15/1959,63,28
10/16/1959,57,31
10/17/1959,59,20
10/18/1959,64,18
10/19/1959,60,25
10/20/1959,54,22
10/21/1959,50,21
10/22/1959,45,31
10/23/1959,58,42
10/24/1959,67,31
10/25/1959,63,46
10/26/1959,51,19
10/27/1959,57,23
10/28/1959,53,18
10/29/1959,41,20
10/30/1959,49,21
10/31/1959,54,16
11/1/1959,57,17
11/2/1959,58,17
11/3/1959,53,21
11/4/1959,38,17
11/5/1959,25,-10
11/6/1959,37,-1
11/7/1959,46,21
11/8/1959,46,12
11/9/1959,50,15
11/10/1959,46,32
11/11/1959,45,20
11/12/1959,45,20
11/13/1959,25,-5
11/14/1959,31,-7
11/15/1959,36,12
11/16/1959,35,13
